,credit_pressure_index
2000-01-31,0.5261298936424696
2000-02-29,0.2869070451922697
2000-03-31,0.21555334941240228
2000-04-30,0.5281906392880129
2000-05-31,0.3103152769543278
2000-06-30,0.32075977186122684
2000-07-31,0.5352119078441243
2000-08-31,0.7096355634830371
2000-09-30,0.7137150470886436
2000-10-31,0.9479060957898882
2000-11-30,0.8974785553106139
2000-12-31,0.904632440626109
2001-01-31,2.1834182061845073
2001-02-28,1.6444459279149488
2001-03-31,1.6691820578530945
2001-04-30,1.2116505940556064
2001-05-31,1.5381402078866582
2001-06-30,1.5516042594701391
2001-07-31,0.9253916897943122
2001-08-31,1.1227411210623082
2001-09-30,1.1314857277821857
2001-10-31,-0.12200963854741466
2001-11-30,0.8999371536174338
2001-12-31,0.8682533573153232
2002-01-31,3.7612329931501565
2002-02-28,2.194871857751546
2002-03-31,2.2217671269518644
2002-04-30,-1.8121481856205917
2002-05-31,-0.6646369534366326
2002-06-30,-0.6804218781290065
2002-07-31,1.4449090328648853
2002-08-31,0.690573553052714
2002-09-30,0.7019938021591846
2002-10-31,-0.4585255459477147
2002-11-30,-0.009987714195672955
2002-12-31,-0.016270696046103574
2003-01-31,0.5841707942267041
2003-02-28,0.8420904422656535
2003-03-31,0.8078994689220969
2003-04-30,0.5370982217722857
2003-05-31,0.4816430381820588
2003-06-30,0.4355148968336185
2003-07-31,-0.5044239583373314
2003-08-31,-0.22273314595943292
2003-09-30,-0.24306708420248688
2003-10-31,1.9431813950788104
2003-11-30,0.7606268164388931
2003-12-31,0.7530627721250591
2004-01-31,-1.5262615718832848
2004-02-29,-0.5886940131950854
2004-03-31,-0.6048795545291717
2004-04-30,0.07261220955869932
2004-05-31,-0.32158458774249365
2004-06-30,-0.3304264192817266
2004-07-31,-0.6509903424747935
2004-08-31,-0.6028656565012602
2004-09-30,-0.5958549783888225
2004-10-31,-0.22655992354291332
2004-11-30,-0.11993801789625137
2004-12-31,-0.13497486289508367
2005-01-31,-1.4540922210891614
2005-02-28,-0.776968095670204
2005-03-31,-0.7997221504039378
2005-04-30,0.08990311549644776
2005-05-31,-0.6386530653762925
2005-06-30,-0.6407051884338387
2005-07-31,0.7440166829750275
2005-08-31,0.13334082022153826
2005-09-30,0.15488939568961518
2005-10-31,-1.1807740215737133
2005-11-30,0.2196148452821969
2005-12-31,0.18464816261952505
2006-01-31,0.3539465995295376
2006-02-28,-1.530344804462093
2006-03-31,-1.498910114342315
2006-04-30,0.19004359762879297
2006-05-31,0.3347711316235005
2006-06-30,0.3590835500423782
2006-07-31,-0.6074332399029563
2006-08-31,0.0718759728756902
2006-09-30,0.10710468289765782
2006-10-31,-0.6872704999619446
2006-11-30,-0.31906941787999377
2006-12-31,-0.336264279555502
2007-01-31,0.6792683846552873
2007-02-28,0.19176494814951195
2007-03-31,0.19660666319418163
2007-04-30,-0.1384558505212516
2007-05-31,-0.16295194253998116
2007-06-30,-0.16059809191386007
2007-07-31,1.6073011901187175
2007-08-31,0.7832711221768578
2007-09-30,0.8197499866716561
2007-10-31,0.34407810033166064
2007-11-30,0.8571068538220824
2007-12-31,0.8706668702188454
2008-01-31,1.869934336379761
2008-02-29,2.061944918373499
2008-03-31,2.0965415331816373
2008-04-30,2.403780398648188
2008-05-31,2.53425695648097
2008-06-30,1.592205895499545
2008-07-31,0.803270056353686
2008-08-31,1.3896088461829714
2008-09-30,1.3504637995843145
2008-10-31,5.497783130930196
2008-11-30,3.2569422038544964
2008-12-31,3.3727036428480663
2009-01-31,3.4198973770245304
2009-02-28,3.504523962326682
2009-03-31,3.5376924105801524
2009-04-30,1.108656513122385
2009-05-31,2.5656491971637965
2009-06-30,2.6229407427325975
2009-07-31,0.061905480060291916
2009-08-31,1.3403430646173706
2009-09-30,1.2954873960326947
2009-10-31,1.2072198140946522
2009-11-30,0.842900262852201
2009-12-31,0.7871326109808086
2010-01-31,-1.2199267579707553
2010-02-28,-0.35251366543299717
2010-03-31,-0.42595958464242534
2010-04-30,-1.0435184014494685
2010-05-31,-0.8198211626329084
2010-06-30,-0.8598396794174145
2010-07-31,-1.1121990245185651
2010-08-31,-1.5082427345055478
2010-09-30,-1.5243556818400292
2010-10-31,-0.8360799596853229
2010-11-30,-1.0436910676900155
2010-12-31,-1.0394426571796458
2011-01-31,-0.6460220542620584
2011-02-28,-0.9464456931224594
2011-03-31,-0.9532799415865951
2011-04-30,-0.8094763764555826
2011-05-31,-1.1764318234611726
2011-06-30,-1.2247121801712424
2011-07-31,-0.3881405739897247
2011-08-31,-0.38395916691798004
2011-09-30,-0.39619260858186434
2011-10-31,-1.1072513937051582
2011-11-30,-1.1398863162108865
2011-12-31,-1.1558764480927763
2012-01-31,-0.5486362621478651
2012-02-29,-0.5101704558242091
2012-03-31,-0.5701224643278626
2012-04-30,-0.49561465980668784
2012-05-31,-0.6711725670383514
2012-06-30,-0.09398659446400144
2012-07-31,0.035191520163366116
2012-08-31,0.2620270783156659
2012-09-30,0.21124158270172025
2012-10-31,0.34858825199807936
2012-11-30,0.19608743084883562
2012-12-31,0.15559482639561384
2013-01-31,-0.3906239275423944
2013-02-28,-0.4941163459670764
2013-03-31,-0.5037154205086635
2013-04-30,-0.8661612010596542
2013-05-31,-0.7917371765120791
2013-06-30,-0.8048047460367161
2013-07-31,-0.6573091379554886
2013-08-31,-0.7199244363043913
2013-09-30,-0.7328251679356212
2013-10-31,-0.44408102333118227
2013-11-30,-0.5242398942907252
2013-12-31,-0.540655054625576
2014-01-31,-0.690927801638986
2014-02-28,-0.7017645553356406
2014-03-31,-0.7089597526147079
2014-04-30,-0.5803090572219634
2014-05-31,-0.588054644422014
2014-06-30,-0.5912638688542816
2014-07-31,-0.7548622621914195
2014-08-31,-0.7621737379138445
2014-09-30,-0.7675196608896172
2014-10-31,-0.6399593372712052
2014-11-30,-0.6652374126173471
2014-12-31,-0.6751698677467491
2015-01-31,-0.5798244952285821
2015-02-28,-0.6084789874623567
2015-03-31,-0.6091810343867539
2015-04-30,-0.395098801454765
2015-05-31,-0.5159006995260064
2015-06-30,-0.5170798760794184
2015-07-31,-0.4339483552811646
2015-08-31,-0.6780596301372671
2015-09-30,-0.6736336587795819
2015-10-31,-0.5630061529323271
2015-11-30,-0.3337318580227252
2015-12-31,-0.3328134801310345
2016-01-31,-0.5210786051140426
2016-02-29,-0.4642053309096728
2016-03-31,-0.4598110712873134
2016-04-30,-0.16433476445251288
2016-05-31,0.5890831622271318
2016-06-30,0.4717407318346063
2016-07-31,-0.2660106054521252
2016-08-31,-0.31346051139510006
2016-09-30,-0.30437875484511007
2016-10-31,-0.15518435758335905
2016-11-30,-0.14644133867250553
2016-12-31,-0.13687254326357687
2017-01-31,-0.6443284971738205
2017-02-28,-0.4982335700155425
2017-03-31,-0.494585039971639
2017-04-30,-0.23127904686557166
2017-05-31,-0.39430750626941696
2017-06-30,-0.3836015557983909
2017-07-31,-0.5621685782024216
2017-08-31,-0.4422963727048034
2017-09-30,-0.4355188385373849
2017-10-31,-0.9783154875796491
2017-11-30,-0.6702734819575403
2017-12-31,-0.6750650399935502
2018-01-31,-0.42190372100961515
2018-02-28,-0.6469706204719504
2018-03-31,-0.6446798879343091
2018-04-30,-0.7679892822032857
2018-05-31,-0.7114449285124564
2018-06-30,-0.7134138401877714
2018-07-31,-0.6344214472919546
2018-08-31,-0.6879523701289503
2018-09-30,-0.6848652085136017
2018-10-31,-0.6995751964548829
2018-11-30,-0.6975182499022811
2018-12-31,-0.6992146817469488
2019-01-31,-0.4858434735177213
2019-02-28,-0.42850204427012656
2019-03-31,-0.4283057371528033
2019-04-30,-0.3439760485695956
2019-05-31,-0.47939510663678403
2019-06-30,-0.4753505363874204
2019-07-31,-0.6044498266094911
2019-08-31,-0.49102341966121943
2019-09-30,-0.4904028278589326
2019-10-31,-0.3161149542123576
2019-11-30,-0.3193720194996723
2019-12-31,-0.31111954244887835
2020-01-31,-0.1464573625825341
2020-02-29,-0.3363919764798672
2020-03-31,-0.3301328347360218
2020-04-30,-1.1652806446216406
2020-05-31,0.23558983196154226
2020-06-30,0.2141281668940351
2020-07-31,-0.5116453015531814
2020-08-31,-0.09819232428521203
2020-09-30,-0.14152742336436
2020-10-31,1.3585682092244042
2020-11-30,-0.016923796536670838
2020-12-31,-0.010643252312804446
2021-01-31,-1.2433837053551096
2021-02-28,-0.7457229852054862
2021-03-31,-0.8356273369680596
2021-04-30,-1.6740298714502637
2021-05-31,-1.5101462717464074
2021-06-30,-1.5313814111491622
2021-07-31,-1.0011152592748973
2021-08-31,-1.563866234448873
2021-09-30,-1.5616516834880443
2021-10-31,-0.7140316377098962
2021-11-30,-0.9524793248185284
2021-12-31,-0.9470984606981401
2022-01-31,-0.44076836900625715
2022-02-28,-0.6258299795525117
2022-03-31,-0.6130058659954931
2022-04-30,-0.3343332076702522
2022-05-31,-0.37042702429555807
2022-06-30,-0.3591274237376276
2022-07-31,0.3040512096176366
2022-08-31,0.12510147147767903
2022-09-30,0.14154735543318547
2022-10-31,0.4633202325841126
2022-11-30,0.5042326967596178
2022-12-31,0.5215134306970092
2023-01-31,0.5798852319369909
2023-02-28,0.5962458820015164
2023-03-31,0.6193368050027468
2023-04-30,0.9533108109134157
2023-05-31,0.7732132012091737
2023-06-30,0.8002873397639503
2023-07-31,0.5677572063301874
2023-08-31,0.8035375066333454
2023-09-30,0.8198928376336256
2023-10-31,0.5133424331595074
2023-11-30,0.6016726612255445
2023-12-31,0.6139795629293057
2024-01-31,-0.08959777728390662
2024-02-29,0.13966663180980024
2024-03-31,0.14356445553360367
2024-04-30,0.20157428812884212
2024-05-31,0.3961754715972105
2024-06-30,0.33855170728198664
2024-07-31,-0.08957308058141382
2024-08-31,0.09448580167626146
2024-09-30,0.08557230009014563
2024-10-31,-0.4765718293400784
2024-11-30,-0.23175864070154584
2024-12-31,-0.18021160672537875
2025-01-31,-0.06830455827427429
2025-02-28,-0.35502628373200146
2025-03-31,-0.3636743871403397
2025-04-30,-0.27176195981065815
2025-05-31,-0.2714328393202462
2025-06-30,-0.2734142423183479
2025-07-31,-0.47990332224882254
2025-08-31,-0.37464107437918653
2025-09-30,-0.3806971629052805
2025-10-31,-0.35160429671610827
2025-11-30,-0.4139441332136392
2025-12-31,-0.4164519079731517
2026-01-31,-0.4404550339671257
2026-02-28,0.3627318059088703
2026-03-31,0.21022649783330374
